product_id,category,color,size,season,supplier,cost_price,list_price
P000141,dresses,blue,s,winter,supplierc,47.19,91.63
P000142,accessories,red,m,summer,supplierb,44.98,167.37
P000143,bottoms,yellow,l,winter,supplierb,76.71,131.88
P000144,bottoms,red,xl,spring,supplierc,16.39,94.34
P000145,bottoms,blue,xl,spring,supplierd,66.59,20.83
P000146,bottoms,green,xs,fall,suppliera,63.05,87.42
P000147,bottoms,yellow,xs,winter,supplierd,40.99,137.41
P000148,tops,yellow,m,spring,supplierd,9.88,154.74
P000149,shoes,black,m,spring,supplierb,13.26,171.37
P000150,bottoms,green,s,winter,suppliera,72.55,104.26
P000151,dresses,yellow,l,spring,supplierb,41.11,105.97
P000152,dresses,black,m,fall,suppliera,24.1,15.05
P000153,dresses,red,m,winter,supplierc,40.45,67.07
P000154,dresses,blue,xs,spring,supplierc,61.71,162.19
P000155,tops,yellow,l,summer,supplierd,66.54,50.99
P000156,dresses,white,xs,summer,supplierb,29.37,88.75
P000157,bottoms,blue,s,spring,suppliera,11.43,111.15
P000158,accessories,green,m,winter,supplierb,52.72,161.59
P000159,dresses,black,m,fall,suppliera,42.97,75.73
P000160,tops,blue,m,spring,supplierc,10.62,177.02
P000161,tops,black,xl,fall,supplierd,64.99,160.75
P000162,dresses,green,l,summer,supplierc,61.81,98.46
P000163,accessories,green,xs,winter,supplierc,62.37,180.58
P000164,dresses,blue,xs,fall,suppliera,27.26,145.08
P000165,tops,yellow,xs,spring,supplierb,35.62,72.62
P000166,shoes,white,s,summer,suppliera,29.83,55.4
P000167,bottoms,yellow,xl,fall,supplierc,59.18,196.17
P000168,tops,white,s,winter,supplierb,61.45,69.5
P000169,dresses,black,l,spring,suppliera,25.15,149.8
P000170,bottoms,blue,xs,fall,supplierc,41.35,105.04
P000171,dresses,red,xs,spring,supplierb,11.25,44.18
P000172,dresses,green,xs,spring,supplierd,72.79,106.6
P000173,shoes,yellow,m,fall,supplierd,67.61,89.13
P000174,bottoms,black,m,summer,supplierc,61.33,190.29
P000175,bottoms,green,xs,summer,suppliera,65.1,48.13
P000176,shoes,black,xs,summer,supplierd,47.96,54.85
P000177,tops,blue,m,spring,supplierd,74.02,119.41
P000178,dresses,black,s,fall,supplierb,33.41,196.39
P000179,accessories,black,xl,fall,supplierb,53.09,179.91
P000180,dresses,red,s,spring,supplierc,14.32,81.84
P000181,dresses,black,xl,winter,supplierb,79.42,56.87
P000182,tops,white,m,summer,supplierd,28.5,87.06
P000183,dresses,black,xs,fall,supplierd,78.45,132.88
P000184,shoes,black,xs,fall,suppliera,56.23,65.89
P000185,shoes,blue,xs,summer,supplierc,39.93,156.04
P000186,bottoms,black,s,summer,supplierc,45.8,108.28
P000187,accessories,red,xs,summer,supplierb,26.77,86.78
P000188,dresses,blue,xl,summer,supplierc,46.18,133.07
P000189,dresses,green,xs,winter,supplierd,26.98,20.07
P000190,tops,white,m,winter,suppliera,69.86,161.9
P000191,shoes,white,xs,spring,suppliera,53.54,16.8
P000192,accessories,green,s,summer,suppliera,23.58,142.11
P000193,bottoms,black,s,winter,supplierb,15.53,156.12
P000194,shoes,red,m,spring,supplierc,8.95,20.38
P000195,bottoms,red,l,summer,supplierb,25.02,18.45
P000196,tops,red,s,winter,supplierc,58.08,157.76
P000197,tops,red,l,summer,supplierb,28.38,76.15
P000198,dresses,black,m,spring,supplierb,52.77,153.91
P000199,accessories,green,xs,winter,suppliera,72.15,120.6
P000200,bottoms,green,l,spring,supplierb,77.93,40.23
P000201,shoes,white,m,summer,supplierd,61.6,165.42
P000202,tops,green,l,spring,suppliera,54.95,58.64
P000203,dresses,red,l,fall,supplierd,57.94,75.61
P000204,dresses,black,xs,summer,supplierb,15.74,55.21
P000205,bottoms,blue,s,summer,supplierc,59.64,15.21
P000206,tops,blue,l,spring,supplierb,38.43,147.24
P000207,accessories,red,xl,summer,supplierc,20.68,110.03
P000208,tops,yellow,xs,winter,supplierd,9.82,90.63
P000209,bottoms,white,xl,fall,supplierd,38.51,11.4
P000210,bottoms,,xs,summer,supplierb,18.87,100.81
P000211,tops,,xs,fall,supplierd,51.93,54.53
P000212,bottoms,red,s,summer,supplierc,20.3,120.6
P000213,tops,black,xl,winter,supplierb,31.71,195.44
P000214,shoes,blue,l,winter,supplierc,62.65,148.38
P000215,tops,red,xs,winter,supplierb,63.43,52.27
P000216,tops,blue,xl,fall,supplierc,11.18,111.85
P000217,bottoms,black,xl,winter,supplierd,64.73,36.73
P000218,bottoms,green,s,summer,supplierb,63.5,87.04
P000219,dresses,green,xl,spring,suppliera,35.1,41.39
P000220,dresses,black,l,summer,supplierd,45.75,54.89
P000221,shoes,black,xl,spring,supplierb,76.39,160.38
P000222,dresses,green,s,summer,supplierc,56.07,97.0
P000223,tops,black,xs,winter,suppliera,41.23,99.61
P000224,bottoms,black,xl,fall,suppliera,73.77,80.15
P000225,dresses,black,xl,fall,suppliera,43.97,80.87
P000226,dresses,green,m,spring,supplierd,76.99,65.13
P000227,shoes,green,l,spring,supplierd,19.1,60.49
P000228,shoes,,l,fall,supplierd,9.72,185.07
P000229,tops,blue,l,summer,supplierc,73.35,196.74
P000230,???,green,xl,winter,suppliera,58.26,97.37
P000231,shoes,blue,l,fall,suppliera,49.21,95.96
P000232,dresses,green,l,winter,suppliera,72.1,61.11
P000233,bottoms,white,m,fall,suppliera,20.23,138.99
P000234,bottoms,blue,s,summer,supplierb,5.66,176.38
P000235,dresses,black,s,winter,suppliera,27.79,146.37
P000236,shoes,white,xs,summer,supplierc,26.16,78.52
P000237,dresses,yellow,m,winter,supplierc,42.65,31.45
P000238,bottoms,green,xl,fall,suppliera,37.05,49.5
P000239,accessories,green,xs,winter,suppliera,8.01,27.12
P000240,accessories,yellow,l,summer,suppliera,56.77,116.26
P000241,tops,white,xs,spring,supplierc,39.42,191.02
P000242,dresses,red,s,spring,supplierd,66.26,77.69
P000243,dresses,black,xs,fall,supplierb,76.99,70.56
P000244,tops,blue,xs,winter,supplierb,7.31,120.12
P000245,tops,white,m,spring,supplierc,71.98,30.99
P000246,tops,blue,l,summer,supplierb,31.0,90.15
P000247,bottoms,green,xl,fall,supplierb,25.69,71.55
P000248,dresses,red,xl,winter,supplierc,69.07,149.3
P000249,bottoms,yellow,m,winter,supplierd,38.11,152.15
P000250,tops,red,m,summer,supplierc,60.18,145.12
P000251,dresses,blue,xl,fall,supplierc,67.01,100.93
P000252,bottoms,yellow,xs,summer,supplierd,40.09,172.73
P000253,bottoms,green,l,winter,supplierb,11.91,175.84
P000254,tops,yellow,xl,fall,supplierb,12.57,27.21
P000255,dresses,yellow,xs,winter,supplierc,77.01,178.11
P000256,tops,red,xs,spring,suppliera,77.63,89.58
P000257,dresses,black,s,summer,suppliera,22.32,110.61
P000258,accessories,green,m,summer,supplierb,13.85,22.58
P000259,shoes,white,xl,winter,supplierd,78.11,165.99
P000260,shoes,white,xl,fall,supplierc,59.07,33.65
P000261,shoes,white,l,summer,supplierb,62.57,49.22
P000262,tops,black,xl,summer,suppliera,28.42,101.47
P000263,accessories,green,xs,summer,suppliera,5.56,178.02
P000264,dresses,yellow,xs,fall,suppliera,30.66,87.4
P000265,bottoms,blue,l,winter,supplierc,18.4,129.66
P000266,dresses,blue,xs,winter,supplierd,66.77,61.97
P000267,bottoms,green,xs,fall,supplierc,32.79,40.59
P000268,dresses,black,xl,winter,supplierc,70.35,60.63
P000269,accessories,green,m,fall,suppliera,66.28,106.3
P000270,bottoms,blue,xl,spring,supplierb,56.49,191.7
P000271,tops,green,s,spring,supplierc,48.45,102.13
P000272,dresses,white,l,summer,suppliera,67.57,16.51
P000273,dresses,yellow,xs,summer,supplierd,72.39,81.68
P000274,bottoms,green,xl,fall,supplierb,74.37,88.31
P000275,tops,yellow,xl,spring,supplierd,59.39,138.27
P000276,tops,red,xs,summer,suppliera,53.8,183.63
P000277,accessories,green,l,summer,supplierb,31.08,100.28
P000278,tops,blue,xl,spring,supplierd,50.37,69.34
P000279,tops,blue,m,spring,suppliera,67.54,146.54
P000280,tops,yellow,xs,winter,supplierb,45.07,110.54
P000281,shoes,blue,l,summer,supplierb,45.66,185.02
P000282,accessories,white,s,winter,supplierb,62.14,51.02
P000283,dresses,blue,xs,winter,supplierb,50.09,71.37
P000284,bottoms,red,s,spring,supplierc,34.29,81.11
P000285,dresses,green,xs,summer,supplierd,36.86,105.21
P000286,accessories,black,xl,fall,supplierb,29.96,144.87
P000287,bottoms,blue,l,fall,suppliera,23.29,91.69
P000288,accessories,green,m,winter,supplierd,25.03,48.99
P000289,tops,white,s,fall,suppliera,25.48,131.74
P000290,bottoms,green,s,fall,supplierb,54.65,160.69
P000291,tops,blue,xs,spring,suppliera,76.12,196.76
P000292,dresses,blue,s,spring,suppliera,68.04,181.65
P000293,dresses,yellow,xs,summer,supplierb,58.9,44.1
P000294,bottoms,blue,xs,winter,supplierc,47.13,155.38
P000295,bottoms,red,s,spring,supplierd,59.85,150.44
P000296,accessories,green,s,winter,supplierb,12.31,46.71
P000297,accessories,yellow,xl,spring,supplierd,30.15,78.2
P000298,tops,black,xl,winter,supplierb,41.36,39.04
P000299,bottoms,red,xl,winter,supplierc,27.54,196.17
P000300,dresses,black,l,fall,supplierb,54.04,197.65
P000301,accessories,blue,m,winter,supplierb,18.39,29.88
P000302,accessories,black,xl,spring,supplierc,34.28,151.97
P000303,dresses,black,xl,winter,supplierd,76.28,191.22
P000304,accessories,red,xs,spring,supplierc,47.16,93.93
P000305,???,red,m,spring,suppliera,58.44,129.66
P000306,bottoms,green,s,fall,supplierb,31.66,124.78
P000307,dresses,black,l,winter,supplierb,66.15,14.45
P000308,bottoms,red,s,spring,supplierb,30.53,25.71
P000309,accessories,green,xs,spring,suppliera,19.68,63.38
P000310,accessories,black,l,winter,suppliera,36.23,131.43
P000311,dresses,black,xl,winter,supplierd,22.0,114.17
P000312,tops,yellow,m,spring,supplierc,55.9,43.05
P000313,shoes,,m,winter,supplierd,12.27,196.89
P000314,dresses,red,xl,summer,suppliera,58.54,24.08
P000315,shoes,,s,winter,supplierc,72.8,144.61
P000316,shoes,yellow,s,summer,supplierd,71.23,181.49
P000317,tops,red,xl,spring,suppliera,60.41,32.55
P000318,shoes,yellow,xl,fall,supplierb,30.81,171.75
P000319,shoes,blue,m,spring,supplierb,78.31,162.43
P000320,tops,yellow,s,winter,supplierb,63.97,17.15
P000321,shoes,yellow,l,spring,suppliera,75.95,144.17
P000322,shoes,green,l,winter,supplierd,48.03,92.51
P000323,shoes,red,xs,summer,supplierb,67.04,61.1
P000324,dresses,black,xs,winter,supplierd,22.81,118.92
P000325,dresses,white,xs,fall,suppliera,32.6,111.49
P000326,dresses,green,s,fall,supplierb,54.22,161.66
P000327,tops,red,l,winter,suppliera,8.98,130.9
P000328,accessories,green,s,fall,supplierc,15.32,112.85
P000329,shoes,black,xl,fall,supplierb,77.5,185.67
P000330,shoes,yellow,m,fall,supplierb,32.62,151.04
P000331,tops,white,xs,spring,supplierd,26.13,96.22
P000332,shoes,black,xl,winter,suppliera,43.57,89.34
P000333,dresses,white,xl,spring,supplierc,14.47,29.56
P000334,accessories,green,m,fall,suppliera,21.98,106.68
P000335,bottoms,yellow,l,summer,supplierc,13.65,74.23
P000336,shoes,yellow,l,spring,supplierb,10.43,121.0
P000337,dresses,red,xl,summer,supplierd,33.97,111.23
P000338,bottoms,white,m,winter,suppliera,41.48,194.01
P000339,accessories,black,l,spring,supplierd,6.43,96.25
P000340,bottoms,white,xs,summer,suppliera,16.7,160.05
P000341,dresses,green,s,fall,supplierc,57.9,137.25
P000342,bottoms,yellow,m,spring,supplierd,46.28,105.26
P000343,tops,green,xl,winter,supplierb,23.76,89.06
P000344,bottoms,green,s,fall,suppliera,31.6,77.15
P000345,shoes,red,l,summer,supplierd,16.65,114.91
P000346,shoes,green,l,fall,supplierb,73.38,48.41
P000347,tops,red,m,winter,supplierc,72.48,11.3
P000348,dresses,blue,s,winter,supplierc,45.44,145.88
P000349,shoes,white,l,spring,supplierd,69.12,75.07
P000350,accessories,yellow,m,fall,supplierd,40.78,193.26
P000351,shoes,yellow,s,spring,supplierd,65.93,132.43
P000352,shoes,black,xl,summer,supplierb,48.79,34.04
P000353,dresses,yellow,xl,summer,supplierd,29.49,96.41
P000354,bottoms,red,l,spring,suppliera,34.74,158.92
P000355,shoes,yellow,m,winter,supplierc,9.96,117.98
P000356,tops,red,xs,fall,supplierc,20.92,55.93
P000357,bottoms,yellow,l,fall,supplierc,35.04,43.03
P000358,accessories,black,xs,fall,supplierb,39.23,190.68
P000359,dresses,white,s,spring,supplierc,8.64,46.3
P000360,accessories,green,m,winter,supplierc,41.6,81.81
P000361,bottoms,white,l,winter,supplierd,69.26,74.78
P000362,bottoms,red,xl,spring,suppliera,16.55,177.33
P000363,bottoms,green,s,spring,suppliera,24.59,190.35
P000364,accessories,blue,s,spring,supplierc,65.52,158.25
P000365,bottoms,black,s,summer,supplierb,63.25,137.29
P000366,accessories,white,xs,winter,supplierc,29.56,182.64
P000367,bottoms,green,xs,spring,supplierb,59.66,118.63
P000368,tops,black,s,winter,supplierb,46.1,88.38
P000369,bottoms,white,l,winter,supplierd,33.45,148.97
P000370,accessories,red,xs,winter,supplierc,6.83,50.28
P000371,shoes,red,m,spring,supplierb,38.57,183.3
P000372,bottoms,red,xl,spring,supplierd,36.68,53.52
P000373,shoes,blue,l,winter,supplierb,10.37,57.92
P000374,tops,yellow,m,winter,suppliera,14.55,152.78
P000375,dresses,red,xs,spring,supplierb,37.71,151.0
P000376,tops,red,xl,fall,supplierc,6.16,77.68
P000377,bottoms,yellow,s,winter,supplierd,74.63,150.31
P000378,shoes,red,xl,summer,supplierb,58.36,189.15
P000379,shoes,green,s,spring,supplierb,79.51,42.1
P000380,accessories,black,m,spring,supplierc,20.59,151.48
P000381,shoes,blue,m,spring,supplierc,25.88,139.04
P000382,accessories,white,l,winter,supplierc,21.3,197.45
P000383,dresses,yellow,m,summer,supplierc,67.95,116.22
P000384,bottoms,yellow,xs,winter,suppliera,29.54,111.9
P000385,accessories,yellow,xs,summer,suppliera,8.33,45.81
P000386,dresses,blue,xl,summer,supplierb,31.97,66.84
P000387,shoes,black,s,spring,supplierc,36.94,91.54
P000388,shoes,red,xl,fall,supplierb,34.45,74.74
P000389,dresses,yellow,l,fall,supplierd,66.91,27.44
P000390,shoes,red,l,fall,suppliera,76.4,176.7
P000391,dresses,white,xs,summer,supplierb,48.64,16.05
P000392,accessories,yellow,l,winter,supplierc,50.54,87.04
P000393,accessories,blue,xs,fall,supplierb,25.49,93.97
P000394,dresses,blue,s,winter,supplierc,69.91,56.52
P000395,accessories,,xl,winter,supplierd,23.53,30.37
P000396,accessories,blue,l,winter,supplierd,15.76,126.77
P000397,accessories,blue,s,summer,supplierc,60.24,98.92
P000398,tops,blue,l,winter,supplierb,60.61,68.65
P000399,bottoms,yellow,m,fall,suppliera,57.18,198.36
P000400,shoes,white,l,fall,supplierc,60.23,154.52
P000401,tops,yellow,s,spring,supplierb,66.08,194.12
P000402,accessories,white,l,spring,supplierc,72.31,125.63
P000403,dresses,black,m,fall,supplierc,7.54,131.95
P000404,accessories,blue,l,spring,supplierc,53.99,110.61
P000405,bottoms,black,s,spring,suppliera,27.1,184.11
P000406,accessories,green,xs,spring,supplierd,48.61,61.12
P000407,dresses,green,s,spring,supplierb,69.36,170.63
P000408,bottoms,blue,xs,winter,suppliera,60.25,78.27
P000409,accessories,red,xs,fall,suppliera,19.61,191.51
P000410,bottoms,green,xl,spring,supplierb,48.01,44.83
P000411,shoes,red,s,spring,supplierc,17.82,109.6
P000412,shoes,black,xl,spring,supplierd,23.4,124.68
P000413,accessories,blue,xs,summer,supplierc,35.23,136.22
P000414,bottoms,black,l,spring,supplierd,51.06,81.95
P000415,dresses,yellow,xs,winter,supplierc,45.28,75.63
P000416,accessories,black,s,summer,supplierb,28.47,140.56
P000417,shoes,white,s,fall,supplierb,66.81,160.96
P000418,shoes,blue,s,spring,supplierb,60.3,81.69
P000419,accessories,white,s,spring,supplierb,33.42,77.76
P000420,bottoms,black,l,summer,suppliera,43.5,140.3
P000421,shoes,red,xl,fall,supplierb,17.01,42.39
P000422,bottoms,blue,m,summer,suppliera,72.38,11.74
P000423,shoes,blue,xl,summer,supplierb,38.49,63.55
P000424,shoes,green,xs,spring,supplierb,63.17,87.32
P000425,tops,red,s,spring,supplierd,25.84,116.62
P000426,shoes,yellow,s,spring,supplierb,61.55,168.97
P000427,dresses,red,m,winter,supplierb,13.5,74.38
P000428,accessories,,xl,spring,supplierc,19.01,182.93
P000429,accessories,black,xs,winter,suppliera,27.53,113.71
P000430,bottoms,black,s,summer,suppliera,69.87,14.44
P000431,shoes,green,m,winter,supplierb,75.5,175.54
P000432,dresses,red,m,winter,supplierc,47.0,146.37
P000433,bottoms,white,xs,fall,suppliera,57.3,129.63
P000434,tops,red,m,fall,supplierb,20.68,147.64
P000435,bottoms,white,m,fall,suppliera,60.5,99.23
P000436,bottoms,blue,xl,spring,supplierd,64.16,166.5
P000437,shoes,white,s,spring,supplierc,59.63,61.0
P000438,tops,blue,xl,summer,suppliera,33.36,157.38
P000439,bottoms,yellow,m,fall,suppliera,29.06,184.16
P000440,dresses,yellow,l,winter,supplierb,52.79,96.69
P000441,dresses,black,xs,spring,supplierd,55.46,132.16
P000442,accessories,red,m,spring,suppliera,47.51,124.91
P000443,tops,black,m,winter,supplierd,8.69,13.8
P000444,tops,red,xl,fall,supplierb,47.03,171.5
P000445,accessories,white,xs,summer,supplierc,28.61,68.38
P000446,bottoms,red,s,fall,supplierd,23.5,103.88
P000447,tops,white,xs,spring,supplierc,78.73,197.02
P000448,dresses,red,m,spring,supplierc,79.28,120.58
P000449,dresses,blue,xl,spring,suppliera,5.94,78.07
P000450,shoes,white,l,spring,supplierb,62.21,146.67
P000451,tops,black,m,summer,supplierc,56.91,178.03
P000452,bottoms,black,xs,spring,supplierb,27.7,137.6
P000453,accessories,black,xs,summer,supplierd,53.7,146.66
P000454,accessories,black,l,winter,suppliera,38.69,139.78
P000455,bottoms,blue,xs,fall,suppliera,22.09,92.35
P000456,shoes,blue,xs,spring,suppliera,40.03,116.18
P000457,accessories,green,xl,spring,suppliera,24.38,45.28
P000458,tops,green,xs,spring,supplierd,15.26,125.61
P000459,shoes,green,s,fall,supplierc,78.38,182.75
P000460,tops,yellow,l,fall,supplierc,37.78,172.92
P000461,dresses,green,m,summer,supplierc,13.71,86.51
P000462,shoes,red,l,summer,supplierb,56.0,173.3
P000463,accessories,yellow,m,spring,supplierb,18.86,64.41
P000464,shoes,white,xl,fall,supplierc,38.41,170.87
P000465,shoes,black,xs,spring,supplierd,61.79,179.52
P000466,shoes,red,m,summer,supplierb,27.27,197.66
P000467,shoes,yellow,m,spring,supplierd,67.95,12.36
P000468,tops,blue,xl,spring,supplierd,26.28,95.58
P000469,dresses,black,l,winter,suppliera,20.29,27.04
P000470,bottoms,white,l,summer,supplierd,29.14,183.92
P000471,shoes,white,l,summer,supplierd,15.01,33.77
P000472,accessories,blue,xs,spring,supplierc,66.13,136.13
P000473,shoes,black,xl,spring,supplierc,59.41,95.86
P000474,accessories,green,m,winter,supplierc,50.27,67.54
P000475,tops,black,l,fall,suppliera,11.39,105.79
P000476,accessories,black,l,fall,supplierb,5.31,95.64
P000477,bottoms,white,l,spring,supplierc,79.21,129.0
P000478,dresses,blue,s,fall,supplierd,71.75,191.78
P000479,accessories,black,xs,winter,supplierd,33.99,194.85
P000480,accessories,red,l,winter,supplierd,72.06,100.47
P000481,dresses,red,s,fall,supplierc,18.88,20.54
P000482,bottoms,blue,xl,summer,supplierb,69.0,145.4
